observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
1ST001,1st Formations Accountants,independent,SRC003,ltd,0-49k,COMP_ACCOUNTS,Annual Accounts Preparation,n/a,simple,5,fixed,Normalized from £67/year - Dormant company filing service,C,https://www.1stformations.co.uk/accountancy-services/pricing/,2025-01-05,England
1ST002,1st Formations Accountants,independent,SRC003,ltd,0-49k,ADMIN_SECRETARY,Company Secretary Service,n/a,simple,15,fixed,Normalized from £13/year - Full company secretary with dormant accounts,C,https://www.1stformations.co.uk/accountancy-services/pricing/,2025-01-05,England
1ST003,1st Formations Accountants,independent,SRC003,ltd,0-49k,COMP_CONFIRMATION,Confirmation Statement,n/a,simple,5,fixed,Normalized from £5/year - Annual confirmation statement filing,C,https://www.1stformations.co.uk/accountancy-services/pricing/,2025-01-05,England
1ST004,1st Formations Accountants,independent,SRC003,ltd,0-49k,ADMIN_REGOFFICE,Registered Office Address,n/a,simple,5,fixed,Normalized from £3/year - London Covent Garden address,C,https://www.1stformations.co.uk/accountancy-services/pricing/,2025-01-05,England
1ST005,1st Formations Accountants,independent,SRC003,ltd,50-99k,COMP_ACCOUNTS,Limited Company Accounts (Non-VAT),n/a,simple,65,modelA,Normalized from £79.99/month inc-VAT - Non-VAT registered company accounting,B,https://www.1stformations.co.uk/accountancy-services/pricing/,2025-01-05,England
1ST006,1st Formations Accountants,independent,SRC003,ltd,100-149k,COMP_ACCOUNTS,Limited Company Accounts (VAT),n/a,standard,85,modelA,Normalized from £99.99/month inc-VAT - VAT registered company accounting,B,https://www.1stformations.co.uk/accountancy-services/pricing/,2025-01-05,England
ANN001,Anna Money,independent,SRC005,ltd,0-49k,BANKING_BASIC,Business Bank Account,basic,simple,0,tiered,0% monthly fee if income below £500 with balance under £5000,A,https://anna.money/pricing/,2025-01-05,England
ANN002,Anna Money,independent,SRC005,ltd,0-49k,BANKING_BASIC,Business Bank Account,basic,simple,5,tiered,Normalized from £5.88/month inc-VAT,A,https://anna.money/pricing/,2025-01-05,England
ANN003,Anna Money,independent,SRC005,ltd,50-99k,BANKING_BASIC,Business Bank Account,basic,simple,10,tiered,Normalized from £11.88/month inc-VAT,A,https://anna.money/pricing/,2025-01-05,England
ANN004,Anna Money,independent,SRC005,ltd,100-149k,BANKING_BASIC,Business Bank Account,basic,simple,20,tiered,Normalized from £23.88/month inc-VAT,A,https://anna.money/pricing/,2025-01-05,England
ANN005,Anna Money,independent,SRC005,ltd,100-149k,BANKING_STANDARD,Business Plan,n/a,standard,15,modelA,Normalized from £17.88/month inc-VAT; 50 free local transfers,A,https://anna.money/pricing/,2025-01-05,England
ANN006,Anna Money,independent,SRC005,ltd,100-149k,BANKING_ADDON,Expense Card Add-on,n/a,standard,5,fixed,Normalized from £3/month inc-VAT per additional card beyond 5 complimentary,A,https://anna.money/pricing/,2025-01-05,England
ANN007,Anna Money,independent,SRC005,ltd,100-149k,BANKING_ATM,ATM Withdrawals,n/a,standard,0,usage,3 free ATM withdrawals/month; 1% commission after that,A,https://anna.money/pricing/,2025-01-05,England
ANN008,Anna Money,independent,SRC005,ltd,100-149k,BANKING_CASH,Cash Deposits,n/a,standard,0,usage,First £300/month free; 1% commission after that,A,https://anna.money/pricing/,2025-01-05,England
ANN009,Anna Money,independent,SRC005,ltd,100-149k,BANKING_INTL,International Payments,n/a,standard,5,per-transaction,2 free SWIFT (£5 thereafter); 2 free CHAPS (£5 thereafter); 2% currency conversion,A,https://anna.money/pricing/,2025-01-05,England
ANN010,Anna Money,independent,SRC005,ltd,500-599k,BANKING_PREMIUM,Big Business Plan,n/a,complex,40,modelA,Normalized from £49.88/month inc-VAT; unlimited transfers & cards,A,https://anna.money/pricing/,2025-01-05,England
